"year","number","type","reporting category","standard","item description","pts","school%","state%","school_state_diff","grade_level","discipline core idea","standard desc","item_library_URL","year_2024"
"2019","1","SR","TE","6.ETS.2.1","Describe why a material is an appropriate choice for part of a bridge.",1,87,81,6,"6","Materials, Tools, and Manufacturing","Analyze and compare properties of metals, plastics, wood, and ceramics, including flexibility, ductility, hardness, thermal conductivity, electrical conductivity, and melting point","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC709749517","no"
"2019","2","SR","PS","8.PS.1.4","Describe a change to a particle model that will show the atoms with more thermal energy.",1,72,70,2,"8","Matter and Its Interactions","Develop a model that describes and predicts changes in particle motion, relative spatial arrangement, temperature, and state of a pure substance when thermal energy is added or removed.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC719842791","no"
"2019","3","SR","PS","6.PS.4.1","Relate the amount of energy in a seismic wave to the wave's amplitude.",1,60,39,21,"6","Waves and Their Applications in Technologies for Information Transfer","Use diagrams of a simple wave to explain that (a) a wave has a repeating pattern with a specific amplitude, frequency, and wavelength, and (b) the amplitude of a wave is related to the energy of the wave.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC725566286","no"
"2019","4","CR","TE","7.ETS.3.4","Analyze a model bridge to determine the loads on the system and describe an advantage and a disadvantage of making a design change.",3,59,52,7,"7","Technological Systems","Show how the components of a structural system work together to serve a structural function. Provide examples of physical structures and relate their design to their intended use.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC709749768","no"
"2019","5","CR","ES","8.ESS.2.1","Interpret a model of two oceanic plates colliding, identify a geological feature that is formed, and describe the process that causes plates to move.",3,34,33,1,"8","Earth's Systems","Use a model to illustrate that energy from Earth’s interior drives convection that cycles Earth’s crust, leading to melting, crystallization, weathering, and deformation of large rock formations, including generation of ocean sea floor at ridges, submergence of ocean sea floor at trenches, mountain building, and active volcanic chains.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC633167889","no"
"2019","6","SR","LS","8.LS.3.4","Complete a table showing the percentages of genotypes for a cross between two plants that are heterozygous for a particular trait.",1,64,42,22,"8","Heredity: Inheritance and Variation of Traits","Develop and use a model to show that sexually reproducing organisms have two of each chromosome in their cell nuclei, and hence two variants (alleles) of each gene that can be the same or different from each other, with one random assortment of each chromosome passed down to offspring from both parents.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC722134119","no"
"2019","7","SR","TE","7.ETS.1.2","Evaluate two design solutions to determine an advantage of one solution over the other.",1,52,52,0,"7","Engineering Design","Evaluate competing solutions to a given design problem using a decision matrix to determine how well each meets the criteria and constraints of the problem. Use a model of each solution to evaluate how variations in one or more design features, including size, shape, weight, or cost, may affect the function or effectiveness of the solution.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC632357510","no"
"2019","8","SR","TE","8.ETS.2.5","Describe the separation process for creating the desired shape of an object and describe the finishing process for that object.",2,44,39,5,"8","Materials, Tools, and Manufacturing","Present information that illustrates how a product can be created using basic processes in manufacturing systems, including forming, separating, conditioning, assembling, finishing, quality control, and safety. Compare the advantages and disadvantages of human vs. computer control of these processes.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC633723212","no"
"2019","9","SR","PS","7.PS.3.4","Analyze particle models of two gas samples and determine that the samples differ in temperature.",1,67,70,-3,"7","Energy","Conduct an investigation to determine the relationships among the energy transferred, how well the type of matter retains or radiates heat, the mass, and the change in the average kinetic energy of the particles as measured by the temperature of the sample.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC291925","no"
"2019","10","SR","PS","6.PS.1.7","Order a set of objects from least to most dense given the mass and volume of the objects.",1,43,35,8,"6","Matter and Its Interactions","Use a particulate model of matter to explain that density is the amount of matter (mass) in a given volume. Apply proportional reasoning to describe, calculate, and compare relative densities of different materials.","https://mcas.digitalitemlibrary.com/home?subject=Science&grades=Grade%208&view=ALL&itemUIN=SC718677590","no"
